,Predictions
1,0.25399285298136454
2,0.24852052205025224
3,0.2586197985552968
4,0.23800409970538605
5,0.2539247288706824
6,0.2299255920028083
7,0.2325276913854081
8,0.2273559058230892
9,0.24893893769244255
10,0.23249184648672697
11,0.24897478259112368
12,0.23625810164619712
13,0.24505697415300717
14,0.24486830617331087
15,0.24321963854611997
16,0.2415006849148153
17,0.22742670352938857
18,0.24079154777899955
19,0.2511233795330352
20,0.2359879199939706
21,0.22813316706958708
22,0.23279188015333477
23,0.2472280264317516
24,0.2564070424844511
25,0.2777950082052215
26,0.27709607114663304
27,0.2820322180270518
28,0.2636026862606782
29,0.27959162268453563
30,0.2547024860848143
31,0.26767860268439214
32,0.25277224377148755
33,0.2794971459774407
34,0.2625391700955867
35,0.27817767095151846
36,0.25969843643300805
37,0.27149897814228474
38,0.28558949468089256
39,0.274004701377516
40,0.2607148449185508
41,0.2521525794418299
42,0.2695262073541519
43,0.2810328356865359
44,0.27590593163616717
45,0.25523334661498087
46,0.2726248074315598
47,0.2903386475470059
48,0.29230529434515473
49,0.294180684925474
50,0.28717820209884937
51,0.28860938444867745
52,0.27781419450512623
53,0.2908280180679359
54,0.2726345740604945
55,0.28210502308214214
56,0.2585683949433457
57,0.3009976724207789
58,0.2720837365276564
59,0.29648151835364434
60,0.26971948032513915
61,0.289683059124631
62,0.3021378990675203
63,0.30174739915717796
64,0.2705776770634818
65,0.26292085160328393
66,0.283523295464825
67,0.30391365584265895
68,0.29386097568174163
69,0.261810821613503
70,0.2941508824476018
71,0.30499917012410405
72,0.29737985832315494
73,0.20285658408036863
74,0.19905802509821408
75,0.2046184717399138
76,0.1842534863718249
77,0.2012141379278374
78,0.17899559423330946
79,0.19003893416997747
80,0.17637116996344007
81,0.1968473684613051
82,0.18116584586193987
83,0.19873596917057318
84,0.1813756158270495
85,0.1906442358598175
86,0.20567776124709872
87,0.19299576186235656
88,0.18381452615212496
89,0.17340991014127208
90,0.1864198644908882
91,0.20244208255856486
92,0.18669694936637707
93,0.1749895322959953
94,0.1836507008412836
95,0.20364820186469712
96,0.21283118840165538
97,0.2410787661767681
98,0.23258707761611666
99,0.2471284627062654
100,0.22570896988415814
101,0.24162959904945447
102,0.22178924595060748
103,0.21861234215812206
104,0.21460319617230725
105,0.2370239514171042
106,0.22296578679114526
107,0.23296314377314048
108,0.22480452619128094
109,0.23162765297640794
110,0.2270179279551919
111,0.22955649231816097
112,0.2349322509174583
113,0.2183806790001939
114,0.2308033191628125
115,0.23284718899517762
116,0.22337961334228426
117,0.21774233957067748
118,0.21863887488382075
119,0.22949959587589538
120,0.2358512415674346
121,0.15333150763664435
122,0.14432342730873915
123,0.16471345588502154
124,0.14085796391605995
125,0.15641375459274895
126,0.1384088216053551
127,0.13583249684827084
128,0.13121154415863837
129,0.15133662586681093
130,0.13900723874732465
131,0.1444412975821361
132,0.13922384324596812
133,0.14823600096273906
134,0.1421444666502608
135,0.1477308368639018
136,0.1546108600912944
137,0.1363529660043903
138,0.14804592918979428
139,0.1477155318066196
140,0.14157641322485812
141,0.13607946506348123
142,0.13221064468789637
143,0.1468376208394411
144,0.15011900534347536
145,0.09532590068603307
146,0.08952840715586279
147,0.1131290225298801
148,0.08877959413049775
149,0.10235963908550375
150,0.08484864252853061
151,0.08474199992355017
152,0.08086195187954881
153,0.09678857392914494
154,0.08445918680965867
155,0.09014021385968049
156,0.0851697277387229
157,0.09566369474675608
158,0.08883125578864669
159,0.09911002209128489
160,0.10352036316657369
161,0.08303975514277624
162,0.09621452761944246
163,0.095390193805847
164,0.0885101705784544
165,0.08153141312581526
166,0.07815652918065114
167,0.09475925105387892
168,0.09779366734270276
169,0.11014212078321217
170,0.11014212078321217
171,0.11014212078321217
172,0.11014212078321217
173,0.11014212078321217
174,0.11014212078321217
175,0.11014212078321217
176,0.11014212078321217
177,0.11014212078321217
178,0.11014212078321217
179,0.11014212078321217
180,0.11014212078321217
181,0.11014212078321217
182,0.11014212078321217
183,0.11014212078321217
184,0.11014212078321217
185,0.11014212078321217
186,0.11014212078321217
187,0.11014212078321217
188,0.11014212078321217
189,0.11014212078321217
190,0.11014212078321217
191,0.11014212078321217
192,0.11014212078321217
193,0.26083212097196196
194,0.2593430939863739
195,0.24939362919608857
196,0.24937056913945335
197,0.25746861063313564
198,0.23199840676968983
199,0.25144228253327494
200,0.22335882676293375
201,0.2652005586791192
202,0.2374499870509564
203,0.2621048192794452
204,0.2383052818104517
205,0.2642738707305873
206,0.2653810938349197
207,0.2713502482732981
208,0.24438667596936617
209,0.2360366276440697
210,0.2511447123282098
211,0.27584079735675726
212,0.26944590691347825
213,0.23071670945625283
214,0.2801911310025643
215,0.2778804562751831
216,0.2635634532576825
217,0.050048923374874446
218,0.049320948911161705
219,0.07261613174996945
220,0.0507768978385872
221,0.06024056586685285
222,0.043497153201459776
223,0.046409051056310754
224,0.04422512766517253
225,0.05587271908457639
226,0.042769178737747035
227,0.050048923374874446
228,0.04422512766517253
229,0.05514474462086365
230,0.046409051056310754
231,0.0631524637217038
232,0.06388043818541654
233,0.042041204274034294
234,0.05805664247571461
235,0.053688795693438165
236,0.04568107659259801
237,0.03694538302804509
238,0.03840133195547059
239,0.05441677015715089
240,0.057328668012001885
241,0.07256551476948536
242,0.06748415275960411
243,0.09122447975580068
244,0.06748615063400051
245,0.08032100552482478
246,0.0640892525468965
247,0.06360940419352902
248,0.05949373251357194
249,0.0749927267778724
250,0.06191095514997699
251,0.06821091785004274
252,0.06384832943301454
253,0.07474980578959405
254,0.06748015701081131
255,0.07838962486497641
256,0.08201945456837678
257,0.06263572236601922
258,0.07475380153838686
259,0.07378011971087708
260,0.06772108012469326
261,0.06045143134591052
262,0.05658267640302461
263,0.07402304069915541
264,0.07596241285658938
265,0.3811629197856684
266,0.32470323091749465
267,0.3441894069744532
268,0.3197192618034662
269,0.321940568478418
270,0.27362914593919674
271,0.3209470715423951
272,0.32328981013186275
273,0.31382701121708156
274,0.3037822627540786
275,0.30277835507327533
276,0.36160077873620733
277,0.3044529662359744
278,0.3073551375414836
279,0.3179885530207254
280,0.29912051653067295
281,0.3111766140650305
282,0.27378137937422864
283,0.33781869509959084
284,0.2873419514878248
285,0.31673134439138706
286,0.3031812272323998
287,0.33016428180480917
288,0.3147941433953889
289,0.3271798391430645
290,0.3991247835426821
291,0.29992470171982644
292,0.4372702057525012
293,0.3513528903566202
294,0.4275620200696224
295,0.3895935182408131
296,0.39395025699563413
297,0.35610933324850536
298,0.3793869830791402
299,0.38866170458437066
300,0.3926995829901788
301,0.3783135974572792
302,0.34348109462085696
303,0.44807239261290255
304,0.3750205985739633
305,0.4042149496982985
306,0.3853918267674027
307,0.35796036492990413
308,0.36852006343889954
309,0.35627921930713746
310,0.3974757872691803
311,0.36084329358034284
312,0.40468782023928407
313,0.4025979319684201
314,0.3769193215547668
315,0.40024898892042393
316,0.4069483889937958
317,0.4772801604012692
318,0.36757681588265834
319,0.4040249180848692
320,0.3556992170429092
321,0.43176308170658484
322,0.436486815405821
323,0.36560373724505624
324,0.31766908707069574
325,0.4345988548323262
326,0.40079630634975316
327,0.38462060884937255
328,0.3518929265738172
329,0.33057012679145514
330,0.42703565893314477
331,0.393186963072057
332,0.4071731663161511
333,0.3855580674690229
334,0.3530680798654867
